---,Realm,Layer,AuraReach,DantianCapacity,QiReserveMax,ProgressRequired,StabilityRecovery,MaxCirculationStrength,PulseChargeDuration,PulseRecoveryDuration,AmbientWispCount,AmbientSpawnInterval,ImpureFraction,NatureWeights,MinorBreakthroughBaseChance
R1L1,1,1,800.0,10.0,6.0,8.0,0.06,1.0,1.25,0.75,5,4.0,0.33,"((Generic, 1.0))",0.9
R1L2,1,2,848.0,11.0,6.6,10.0,0.06,1.0,1.25,0.75,5,4.0,0.33,"((Generic, 1.0))",0.85
R1L3,1,3,896.0,12.0,7.2,12.0,0.06,1.0,1.25,0.75,6,4.0,0.33,"((Generic, 1.0))",0.8
R1L4,1,4,944.0,13.0,7.8,14.0,0.06,1.0,1.25,0.75,6,4.0,0.33,"((Generic, 1.0))",0.75
R1L5,1,5,992.0,14.0,8.4,16.0,0.06,1.0,1.25,0.75,6,4.0,0.33,"((Generic, 1.0))",0.7
R1L6,1,6,1040.0,15.0,9.0,18.0,0.06,1.0,1.25,0.75,7,4.0,0.33,"((Generic, 1.0))",0.65
R1L7,1,7,1088.0,16.0,9.6,20.0,0.06,1.0,1.25,0.75,7,4.0,0.33,"((Generic, 1.0))",0.6
R1L8,1,8,1136.0,17.0,10.2,22.0,0.06,1.0,1.25,0.75,7,4.0,0.33,"((Generic, 1.0))",0.55
R1L9,1,9,1184.0,18.0,10.8,24.0,0.06,1.0,1.25,0.75,8,4.0,0.33,"((Generic, 1.0))",0.5
R2L1,2,1,1520.0,30.0,18.0,17.6,0.07,1.0,1.22,0.73,7,3.75,0.364,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5))",0.9
R2L2,2,2,1611.2,33.0,19.8,22.0,0.07,1.0,1.22,0.73,7,3.75,0.364,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5))",0.85
R2L3,2,3,1702.4,36.0,21.6,26.4,0.07,1.0,1.22,0.73,8,3.75,0.364,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5))",0.8
R2L4,2,4,1793.6,39.0,23.4,30.8,0.07,1.0,1.22,0.73,8,3.75,0.364,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5))",0.75
R2L5,2,5,1884.8,42.0,25.2,35.2,0.07,1.0,1.22,0.73,8,3.75,0.364,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5))",0.7
R2L6,2,6,1976.0,45.0,27.0,39.6,0.07,1.0,1.22,0.73,9,3.75,0.364,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5))",0.65
R2L7,2,7,2067.2,48.0,28.8,44.0,0.07,1.0,1.22,0.73,9,3.75,0.364,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5))",0.6
R2L8,2,8,2158.4,51.0,30.6,48.4,0.07,1.0,1.22,0.73,9,3.75,0.364,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5))",0.55
R2L9,2,9,2249.6,54.0,32.4,52.8,0.07,1.0,1.22,0.73,10,3.75,0.364,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5))",0.5
R3L1,3,1,2888.0,90.0,54.0,38.72,0.08,1.0,1.19,0.71,9,3.5,0.398,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5))",0.9
R3L2,3,2,3061.28,99.0,59.4,48.4,0.08,1.0,1.19,0.71,9,3.5,0.398,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5))",0.85
R3L3,3,3,3234.56,108.0,64.8,58.08,0.08,1.0,1.19,0.71,10,3.5,0.398,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5))",0.8
R3L4,3,4,3407.84,117.0,70.2,67.76,0.08,1.0,1.19,0.71,10,3.5,0.398,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5))",0.75
R3L5,3,5,3581.12,126.0,75.6,77.44,0.08,1.0,1.19,0.71,10,3.5,0.398,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5))",0.7
R3L6,3,6,3754.4,135.0,81.0,87.12,0.08,1.0,1.19,0.71,11,3.5,0.398,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5))",0.65
R3L7,3,7,3927.68,144.0,86.4,96.8,0.08,1.0,1.19,0.71,11,3.5,0.398,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5))",0.6
R3L8,3,8,4100.96,153.0,91.8,106.48,0.08,1.0,1.19,0.71,11,3.5,0.398,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5))",0.55
R3L9,3,9,4274.24,162.0,97.2,116.16,0.08,1.0,1.19,0.71,12,3.5,0.398,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5))",0.5
R4L1,4,1,5487.2,270.0,162.0,85.18,0.09,1.0,1.16,0.69,11,3.25,0.432,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5))",0.9
R4L2,4,2,5816.43,297.0,178.2,106.48,0.09,1.0,1.16,0.69,11,3.25,0.432,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5))",0.85
R4L3,4,3,6145.66,324.0,194.4,127.78,0.09,1.0,1.16,0.69,12,3.25,0.432,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5))",0.8
R4L4,4,4,6474.9,351.0,210.6,149.07,0.09,1.0,1.16,0.69,12,3.25,0.432,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5))",0.75
R4L5,4,5,6804.13,378.0,226.8,170.37,0.09,1.0,1.16,0.69,12,3.25,0.432,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5))",0.7
R4L6,4,6,7133.36,405.0,243.0,191.66,0.09,1.0,1.16,0.69,13,3.25,0.432,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5))",0.65
R4L7,4,7,7462.59,432.0,259.2,212.96,0.09,1.0,1.16,0.69,13,3.25,0.432,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5))",0.6
R4L8,4,8,7791.82,459.0,275.4,234.26,0.09,1.0,1.16,0.69,13,3.25,0.432,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5))",0.55
R4L9,4,9,8121.06,486.0,291.6,255.55,0.09,1.0,1.16,0.69,14,3.25,0.432,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5))",0.5
R5L1,5,1,10425.68,810.0,486.0,187.4,0.1,1.0,1.13,0.67,13,3.0,0.466,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5))",0.9
R5L2,5,2,11051.22,891.0,534.6,234.26,0.1,1.0,1.13,0.67,13,3.0,0.466,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5))",0.85
R5L3,5,3,11676.76,972.0,583.2,281.11,0.1,1.0,1.13,0.67,14,3.0,0.466,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5))",0.8
R5L4,5,4,12302.3,1053.0,631.8,327.96,0.1,1.0,1.13,0.67,14,3.0,0.466,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5))",0.75
R5L5,5,5,12927.84,1134.0,680.4,374.81,0.1,1.0,1.13,0.67,14,3.0,0.466,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5))",0.7
R5L6,5,6,13553.38,1215.0,729.0,421.66,0.1,1.0,1.13,0.67,15,3.0,0.466,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5))",0.65
R5L7,5,7,14178.92,1296.0,777.6,468.51,0.1,1.0,1.13,0.67,15,3.0,0.466,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5))",0.6
R5L8,5,8,14804.47,1377.0,826.2,515.36,0.1,1.0,1.13,0.67,15,3.0,0.466,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5))",0.55
R5L9,5,9,15430.01,1458.0,874.8,562.21,0.1,1.0,1.13,0.67,16,3.0,0.466,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5))",0.5
R6L1,6,1,19808.79,2430.0,1458.0,412.29,0.11,1.0,1.1,0.65,15,2.75,0.5,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5))",0.9
R6L2,6,2,20997.32,2673.0,1603.8,515.36,0.11,1.0,1.1,0.65,15,2.75,0.5,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5))",0.85
R6L3,6,3,22185.85,2916.0,1749.6,618.44,0.11,1.0,1.1,0.65,16,2.75,0.5,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5))",0.8
R6L4,6,4,23374.37,3159.0,1895.4,721.51,0.11,1.0,1.1,0.65,16,2.75,0.5,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5))",0.75
R6L5,6,5,24562.9,3402.0,2041.2,824.58,0.11,1.0,1.1,0.65,16,2.75,0.5,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5))",0.7
R6L6,6,6,25751.43,3645.0,2187.0,927.65,0.11,1.0,1.1,0.65,17,2.75,0.5,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5))",0.65
R6L7,6,7,26939.96,3888.0,2332.8,1030.73,0.11,1.0,1.1,0.65,17,2.75,0.5,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5))",0.6
R6L8,6,8,28128.48,4131.0,2478.6,1133.8,0.11,1.0,1.1,0.65,17,2.75,0.5,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5))",0.55
R6L9,6,9,29317.01,4374.0,2624.4,1236.87,0.11,1.0,1.1,0.65,18,2.75,0.5,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5))",0.5
R7L1,7,1,37636.7,7290.0,4374.0,907.04,0.12,1.0,1.07,0.63,17,2.5,0.4333,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.9
R7L2,7,2,39894.91,8019.0,4811.4,1133.8,0.12,1.0,1.07,0.63,17,2.5,0.4333,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.85
R7L3,7,3,42153.11,8748.0,5248.8,1360.56,0.12,1.0,1.07,0.63,18,2.5,0.4333,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.8
R7L4,7,4,44411.31,9477.0,5686.2,1587.32,0.12,1.0,1.07,0.63,18,2.5,0.4333,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.75
R7L5,7,5,46669.51,10206.0,6123.6,1814.08,0.12,1.0,1.07,0.63,18,2.5,0.4333,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.7
R7L6,7,6,48927.72,10935.0,6561.0,2040.84,0.12,1.0,1.07,0.63,19,2.5,0.4333,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.65
R7L7,7,7,51185.92,11664.0,6998.4,2267.6,0.12,1.0,1.07,0.63,19,2.5,0.4333,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.6
R7L8,7,8,53444.12,12393.0,7435.8,2494.36,0.12,1.0,1.07,0.63,19,2.5,0.4333,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.55
R7L9,7,9,55702.32,13122.0,7873.2,2721.12,0.12,1.0,1.07,0.63,20,2.5,0.4333,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.5
R8L1,8,1,71509.74,21870.0,13122.0,1995.49,0.13,1.0,1.04,0.61,19,2.25,0.3667,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.9
R8L2,8,2,75800.32,24057.0,14434.2,2494.36,0.13,1.0,1.04,0.61,19,2.25,0.3667,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.85
R8L3,8,3,80090.91,26244.0,15746.4,2993.23,0.13,1.0,1.04,0.61,20,2.25,0.3667,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.8
R8L4,8,4,84381.49,28431.0,17058.6,3492.1,0.13,1.0,1.04,0.61,20,2.25,0.3667,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.75
R8L5,8,5,88672.08,30618.0,18370.8,3990.97,0.13,1.0,1.04,0.61,20,2.25,0.3667,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.7
